Date,Symbol,Adj Close,Close,High,Low,Open,Volume,ema15,ema50,macd,macd_signal,bb_bbm,bb_bbh,bb_bbl,rsi,stoch_k,stoch_d,atr_14,obv,vwap,roc_10,Target,Clopen,HighLow,log_price,Log5,Log15,Log30
2010-01-04,EQIX,83.68004608154297,109.55999755859376,109.62000274658205,106.51000213623048,106.5199966430664,576300.0,,,,,,,,,,,0.0,576300.0,,,0,1.028539250951293,1.0291991413761663,4.69647232211114,,,
2010-01-05,EQIX,82.90099334716797,108.54000091552734,109.58999633789062,108.37999725341795,109.58999633789062,681900.0,,,,,,,,,,,0.0,-105600.0,,,1,0.9904188752856062,1.0111644133155255,4.687118777070189,,,
2010-01-06,EQIX,83.65716552734375,109.52999877929688,110.56999969482422,108.22000122070312,108.9499969482422,1397500.0,,,,,,,,,,,0.0,1291900.0,,,0,1.0053235598650838,1.0217150106044495,4.6961984731907345,,,
2010-01-07,EQIX,81.94628143310547,107.29000091552734,110.3499984741211,106.63999938964844,109.25,797200.0,,,,,,,,,,,0.0,494700.0,,,0,0.9820595049476187,1.034789939100776,4.675535457181858,,,
2010-01-08,EQIX,81.54911041259766,106.7699966430664,107.27999877929688,105.9000015258789,106.8000030517578,432400.0,,,,,,,,,,,0.0,62300.0,,,1,0.9997190411251501,1.0130311353497077,4.670676956749416,,,
2010-01-11,EQIX,82.22124481201172,107.6500015258789,108.1500015258789,106.6999969482422,106.97000122070312,568400.0,,,,,,,,,,,0.0,630700.0,,,0,1.006356925282003,1.0135895465708407,4.678885237984816,-0.01758708412632437,,
2010-01-12,EQIX,78.89115905761719,103.29000091552734,107.6500015258789,102.95999908447266,106.5999984741211,948100.0,,,,,,,,,,,0.0,-317400.0,,,0,0.9689493657976243,1.0455516946689012,4.637540574882201,-0.049578202187988474,,
2010-01-13,EQIX,78.73074340820312,103.08000183105467,104.36000061035156,102.25,102.25,704100.0,,,,,,,,,,,0.0,-1021500.0,,,1,1.008117377320828,1.0206357027907242,4.635505403547597,-0.06069306964313714,,
2010-01-14,EQIX,79.52507781982422,104.12000274658205,104.7699966430664,103.31999969482422,103.31999969482422,954700.0,,,,,,,,,,,0.0,-66800.0,,,0,1.0077429641320248,1.0140340394166185,4.64554410650537,-0.029991350676487727,,
2010-01-15,EQIX,77.9898910522461,102.11000061035156,104.4800033569336,101.5500030517578,104.37999725341795,814600.0,,,,,,,,,,,0.0,-881400.0,,,1,0.9782525703889874,1.0288527840189472,4.626050669544839,-0.04462628720457662,,
2010-01-19,EQIX,79.37997436523438,103.93000030517578,104.16000366210938,101.5999984741211,102.69000244140624,616400.0,,,,,,,,,,,0.0,-265000.0,,-5.1387343728325705,0,1.0120751566295567,1.0251969018349971,4.643717598536689,-0.03516763944812684,,
2010-01-20,EQIX,79.01335906982422,103.4499969482422,104.02999877929688,101.97000122070312,102.8499984741211,411500.0,,,,,,,,,,,0.0,-676500.0,,-4.689519001613519,0,1.0058337237046442,1.0202019960177808,4.639088374691718,0.0015477998095168033,,
2010-01-21,EQIX,78.95226287841797,103.37000274658205,106.26000213623048,103.12000274658205,103.19000244140624,788700.0,,,,,,,,,,,0.0,-1465200.0,,-5.624026386713681,0,1.0017443579893122,1.030449954480364,4.638314811150791,0.0028094076031939252,,
2010-01-22,EQIX,75.62982177734375,99.0199966430664,104.26000213623048,98.66999816894533,103.1999969482422,1259200.0,,,,,,,,22.27471449187496,2.941163270945294,,2.713571820940292,-2724400.0,105.29306070602193,-7.708084818614329,1,0.9594961198761257,1.056653532695053,4.595321816031705,-0.05022229047366533,,
2010-01-25,EQIX,76.44705200195312,100.08999633789062,101.0999984741211,99.0999984741211,99.76000213623048,550500.0,104.08456935991724,,,,,,,28.21860131396491,11.93275619215034,,2.668316821662749,-2173900.0,104.85871856722599,-6.256439557179267,0,1.0033078808600016,1.0201816350231556,4.606069744642762,-0.019980924902077035,,
2010-01-26,EQIX,75.9658432006836,99.45999908447266,100.19000244140624,98.7699966430664,99.4000015258789,657900.0,103.50649807548666,,,,,,,26.913574964471024,6.638662304448594,7.170860589181409,2.5791517485682545,-2831800.0,104.28487285231932,-7.607991012835597,0,1.0006035971596854,1.0143768942654865,4.599755544081612,-0.04396205445507739,-0.0967167780295286,
2010-01-27,EQIX,75.80545043945312,99.25,99.58000183105467,97.81999969482422,98.9000015258789,713500.0,102.97443581605083,,,,,,,26.474065865511804,11.412613284037576,9.99467726021217,2.520641061972697,-3545300.0,103.20255204714626,-3.9113185010341307,0,1.0035389127272107,1.0179922525221965,4.5976419195673,-0.0414464551244178,-0.08947685750288947,
2010-01-28,EQIX,74.66742706298828,97.76000213623048,99.16999816894533,95.86000061035156,99.16999816894533,380100.0,102.32263160607329,,,,,,,23.53707918346197,15.459734616280087,11.170336734922087,2.5827380853781072,-3925400.0,102.58728001583128,-5.161039581221123,0,0.9857820302637015,1.0345294965315943,4.58251551727507,-0.05579929387572147,-0.11368295591566469,
