Date,Symbol,Adj Close,Close,High,Low,Open,Volume,ema15,ema50,macd,macd_signal,bb_bbm,bb_bbh,bb_bbl,rsi,stoch_k,stoch_d,atr_14,obv,vwap,roc_10,Target,Clopen,HighLow,log_price,Log5,Log15,Log30
2010-01-04,FSLR,135.4600067138672,135.4600067138672,136.8300018310547,133.57000732421875,136.0,1636000.0,,,,,,,,,,,0.0,1636000.0,,,1,0.9960294611313764,1.024406635682237,4.908676443350223,,,
2010-01-05,FSLR,137.39999389648438,137.39999389648438,140.60000610351562,135.10000610351562,135.42999267578125,2520900.0,,,,,,,,,,,0.0,4156900.0,,,1,1.0145462698607635,1.0407105829128225,4.922896335366737,,,
2010-01-06,FSLR,140.02000427246094,140.02000427246094,140.25,137.64999389648438,138.42999267578125,2195800.0,,,,,,,,,,,0.0,6352700.0,,,1,1.0114860339579999,1.0188885304671418,4.9417853000622705,,,
2010-01-07,FSLR,140.47999572753906,140.47999572753906,142.4600067138672,138.91000366210938,141.0,2040000.0,,,,,,,,,,,0.0,8392700.0,,,0,0.9963120264364472,1.0255561367660244,4.945065099473502,,,
2010-01-08,FSLR,139.67999267578125,139.67999267578125,141.5,137.00999450683594,139.6999969482422,1582700.0,,,,,,,,,,,0.0,6810000.0,,,0,0.999856805491067,1.0327713719668825,4.93935403965559,,,
2010-01-11,FSLR,138.24000549316406,138.24000549316406,141.24000549316406,137.77000427246094,141.0,1575400.0,,,,,,,,,,,0.0,5234600.0,,,0,0.980425570873504,1.0251869137917764,4.928991344792174,0.02031490144195125,,
2010-01-12,FSLR,132.97999572753906,132.97999572753906,137.0,132.66000366210938,137.0,2087900.0,,,,,,,,,,,0.0,3146700.0,,,0,0.9706569031207231,1.0327151833113526,4.890198708845711,-0.032697626521025924,,
2010-01-13,FSLR,132.1199951171875,132.1199951171875,134.0,129.4199981689453,133.52000427246094,1805600.0,,,,,,,,,,,0.0,1341100.0,,,0,0.9895146112157353,1.0353886717343013,4.883710563565182,-0.05807473649708861,,
2010-01-14,FSLR,124.83999633789062,124.83999633789062,136.22999572753906,124.72000122070312,131.52000427246094,8294100.0,,,,,,,,,,,0.0,-6953000.0,,,0,0.949209187062283,1.0922866773106261,4.827032888068155,-0.11803221140534692,,
2010-01-15,FSLR,124.06999969482422,124.06999969482422,126.5,122.5,125.88999938964844,3771900.0,,,,,,,,,,,0.0,-10724900.0,,,0,0.9855429366617833,1.0326530612244897,4.820845919995073,-0.11850811966051644,,
2010-01-19,FSLR,123.94000244140624,123.94000244140624,124.68000030517578,120.0,123.12999725341795,3574400.0,,,,,,,,,,,0.0,-14299300.0,,-8.504358261840862,0,1.0065784553403438,1.0390000025431314,4.819797597232252,-0.10919374755992184,,
2010-01-20,FSLR,119.5,119.5,122.0,118.25,120.61000061035156,3931300.0,,,,,,,,,,,0.0,-18230600.0,,-13.027652613995041,0,0.9907967780056848,1.0317124735729386,4.783316371371566,-0.10688233747414522,,
2010-01-21,FSLR,119.12000274658205,119.12000274658205,121.4499969482422,118.19000244140624,119.08000183105467,2870600.0,,,,,,,,,,,0.0,-21101200.0,,-14.9264397144355,0,1.0003359163160253,1.0275826587655088,4.780131411433024,-0.10357915213215829,,
2010-01-22,FSLR,112.38999938964844,112.38999938964844,119.54000091552734,109.7699966430664,119.54000091552734,4926800.0,,,,,,,,9.189608779384287,8.014689322235046,,5.156429290771485,-26028000.0,127.7626911528648,-19.995726930666464,0,0.940187372669242,1.0890043233237,4.7219749600995184,-0.10505792796863656,,
2010-01-25,FSLR,111.72000122070312,111.72000122070312,115.75,111.0999984741211,114.68000030517578,2802300.0,125.1735774604803,,,,,,,8.917861744385561,5.965139115629985,,5.1202558789934445,-28830300.0,126.53302416338359,-20.01717706270043,1,0.9741890558371488,1.041854199727663,4.715995752003427,-0.10485016799164626,,
2010-01-26,FSLR,115.12999725341795,115.12999725341795,117.87999725341795,111.3499984741211,112.0199966430664,4067700.0,123.91812993459752,,,,,,,21.621539314287446,16.39644833006394,10.125425589309657,5.220951800443689,-24762600.0,124.86517132115266,-16.71730853691907,0,1.0277629057628082,1.058643905422365,4.746061900829218,-0.07373569640303401,-0.1626145425210046,
2010-01-27,FSLR,114.13999938964844,114.13999938964844,115.9800033569336,111.0199966430664,115.05999755859376,2191000.0,122.69586361647887,,,,,,,20.718075578644942,13.368006730855628,11.909864725516519,5.202312865688223,-26953600.0,123.6318186208681,-14.167541692881116,1,0.9920041874807374,1.044676696665861,4.737425759761168,-0.04589061161039787,-0.185470575605569,
2010-01-28,FSLR,114.3499984741211,114.3499984741211,115.77999877929688,112.06999969482422,115.3000030517578,2436800.0,121.65263047368416,,,,,,,21.467694072150806,14.434293559738538,14.732916206886037,5.095719024172825,-24516800.0,122.3696376061429,-13.449891991976548,0,0.9917605849740503,1.0331043017272712,4.7392639071248555,-0.0408675043081681,-0.202521392937415,
2010-01-29,FSLR,113.3000030517578,113.3000030517578,120.02999877929688,113.0,114.63999938964844,2927700.0,120.60855204594336,,,,,,,20.427678571125128,11.217049304008816,13.006449864867662,5.233881863824543,-27444500.0,121.37041386341026,-9.243826998279303,1,0.9883112670531675,1.0622123785778486,4.730039194969157,0.008064234869638476,-0.215025904504345,
2010-02-01,FSLR,117.48999786376952,117.48999786376952,119.83999633789062,114.25,114.88999938964844,1797000.0,120.21873277317162,,,,125.31849937438965,146.0830183850133,104.55398036376597,34.13937070642247,28.351084351729845,18.00080907182573,5.327175536846562,-25647500.0,120.62468186470814,-5.303459214346397,0,1.0226303289053316,1.0489277578808807,4.766353205397249,0.05035745339382203,-0.17300083425834067,
2010-02-02,FSLR,117.37000274658205,117.37000274658205,118.68000030517578,115.29000091552734,117.48999786376952,2174800.0,119.86264151984793,,,,124.41399917602538,144.90688703528784,103.92111131676293,33.95889557978498,28.72262421193922,22.763585955892626,5.188805812046696,-27822300.0,119.8677613466182,-5.3009517229356335,1,0.9989786780205188,1.0294041058437695,4.7653313615130894,0.01926946068387103,-0.16365998327908482,
2010-02-03,FSLR,119.06999969482422,119.06999969482422,120.3000030517578,117.73999786376952,117.86000061035156,1314900.0,119.76356129171997,,,,123.49749946594238,143.21000869873757,103.7849902331472,38.88789049254133,35.147405039840955,30.740371201170007,5.0274625615559145,-26507400.0,119.38515119073512,-0.3598328913604864,0,1.010266409962723,1.0217428676272808,4.779711552900089,0.042285793138921335,-0.11048715594562175,
2010-02-04,FSLR,113.45999908447266,113.45999908447266,117.86000061035156,113.25,116.55999755859376,1578800.0,118.97561601581405,,,,122.16949920654297,140.79959129602258,103.53940711706335,30.735517784307234,22.05619665866333,28.642075303481164,5.084072356789365,-28086200.0,117.31532055420193,-4.751514046008359,1,0.9734042678530191,1.0407064071554222,4.731450343829257,-0.007813563295598236,-0.15226021973592463,
2010-02-05,FSLR,114.19000244140624,114.19000244140624,114.4000015258789,110.83999633789062,113.91999816894533,1965700.0,118.37741431901307,,,,120.85499954223633,137.76204869188172,103.94795039259093,32.71226963066974,29.64456547768892,28.949389058731068,4.975210416160716,-26120500.0,116.41386027437662,1.601568699646764,0,1.0023701218118042,1.0321184166872017,4.7378637490937665,0.007824554124609584,-0.0891691389743885,
2010-02-08,FSLR,111.20999908447266,111.20999908447266,113.31999969482422,110.56999969482422,111.9800033569336,1931600.0,117.48148741469552,,,,119.4314998626709,134.4472262542939,104.41577347104791,29.065592443938016,11.774342159847937,21.158368098733394,4.878409868333667,-28052100.0,115.5417949044158,-0.4565002959702429,1,0.9931237341545118,1.024871122434567,4.711420297598331,-0.054932907798917796,-0.10942562239674203,
2010-02-09,FSLR,113.29000091552734,113.29000091552734,114.9000015258789,111.25,112.94000244140624,2518500.0,116.9575516022995,,-4.875038473258897,,118.18399963378906,130.67554224617032,105.69245702140779,34.54997926704527,30.13702209323665,23.851976576924503,4.793523623553137,-25533600.0,114.88747621039798,-1.5981902039313958,0,1.0030989770369687,1.0328090024798104,4.72995091096667,-0.035380450546419695,-0.08984668626558268,
2010-02-10,FSLR,109.33000183105467,109.33000183105467,113.04000091552734,107.25,112.6500015258789,2673700.0,116.0041078808939,,-5.033546875447243,,117.00149993896484,128.06223093021543,105.94076894771425,29.822484977103656,15.938707621792494,19.28335729162569,4.882557715837009,-28207300.0,114.12571279233953,-4.214120890410651,1,0.9705281877509648,1.0539860225223994,4.694370848194355,-0.08534070470573418,-0.08894552317721072,
2010-02-11,FSLR,113.80999755859376,113.80999755859376,114.4499969482422,110.20999908447266,110.6500015258789,2273800.0,115.72984409060638,,-4.742993435928469,,116.08600006103515,124.76416623557047,107.40783388649983,39.849856125554226,50.26816877035252,32.11463282846055,4.899517530219188,-25933500.0,114.0690798688302,-0.47223517510543633,1,1.0285584816008864,1.0384719889210752,4.734530369842202,0.003080026012944437,-0.0456010415908219,
